Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
3,137750312,34.749756,0.282898,0.101742119,-85,0,-10,0.101742119,0
3,131125386,36.090317,-0.283585,0.101742164,-85,0,-10,0.101742164,0
3,137665734,34.752274,-0.102997,0.101743182,-85,0,-10,0.101743182,0
2,33,34.751816,-0.104141,0.101743227,-85,0,-10,0.101743227,0
2,4602,34.721146,0.096817,0.101743227,-85,0,-10,0.101743227,0
2,6666,34.591141,0.020599,0.10174336,-85,0,-10,0.10174336,0
2,3113,38.045425,-2.55867,0.101753059,-85,0,-10,0.101753059,0
2,24034,37.809219,-2.27211,0.101762226,-85,0,-10,0.101762226,0
3,150828587,35.278885,0.516769,0.10176599,-85,0,-10,0.10176599,0
4,7931141,40.00465393,-3.363876343,0.101781487,-85,0,-10,0.101781487,0
3,196666316,39.56245422,-4.341659546,0.101804065,-85,0,-10,0.101804065,0
3,196657344,38.498154,-3.138199,0.101818406,-85,0,-10,0.101818406,0
3,501678,37.247543,-1.519547,0.10181876,-85,0,-10,0.10181876,0
3,98357576,37.046585,-1.440353,0.101822389,-85,0,-10,0.101822389,0
3,72460550,36.750412,-1.396408,0.101824292,-85,0,-10,0.101824292,0
3,33531586,36.794815,-1.324539,0.101827346,-85,0,-10,0.101827346,0
3,469346,36.829605,-1.319046,0.101827567,-85,0,-10,0.101827567,0
3,72473585,36.709614,-1.326599,0.133509343,-85,0,-10,0.133509343,0
3,33539781,36.811066,-1.31424,0.13350995,-85,0,-10,0.13350995,0
2,3834,36.849003,-1.29158,0.133511199,-85,0,-10,0.133511199,0
2,4351,36.816559,-1.28334,0.133511604,-85,0,-10,0.133511604,0
2,4875,36.906853,-1.263428,0.133512684,-85,0,-10,0.133512684,0
3,131125355,36.063309,-0.288391,0.133543429,-85,0,-10,0.133543429,0
3,98481317,36.81879,-1.308746,0.13362139,-85,0,-10,0.13362139,0
3,468783,36.796131,-1.299133,0.133621896,-85,0,-10,0.133621896,0
2,2472,36.875095,-1.288834,0.133622435,-85,0,-10,0.133622435,0
3,469777,36.818447,-1.285744,0.133622638,-85,0,-10,0.133622638,0
3,34165470,36.821365,-1.284027,0.133622739,-85,0,-10,0.133622739,0
2,7005,36.844711,-1.282654,0.133622806,-85,0,-10,0.133622806,0
2,44966,36.825657,-1.310005,0.133623649,-85,0,-10,0.133623649,0
3,19888129,36.908054,-1.263428,0.133623818,-85,0,-10,0.133623818,0
2,8481,34.976349,1.027908,0.133634778,-85,0,-10,0.133634778,0
3,19736480,34.753189,-0.102997,0.133656088,-85,0,-10,0.133656088,0
3,196794332,40.01152039,-3.357009888,0.133784552,-85,0,-10,0.133784552,0
2,3211,37.003326,-1.124496,0.133864931,-85,0,-10,0.133864931,0
4,7909892,39.677145,-4.040861,0.134036807,-85,0,-10,0.134036807,0
2,14915,34.758854,-0.661411,0.134993254,-85,0,-10,0.134993254,0
3,629911,39.72175598,-4.016189575,0.135066974,-85,0,-10,0.135066974,0
3,98486390,36.862828,-1.33137,0.135078551,-85,0,-10,0.135078551,0
4,2687237,36.805882,-1.295568,0.135179197,-85,0,-10,0.135179197,0
3,65558781,36.803356,-1.264036,0.135291493,-85,0,-10,0.135291493,0
2,4501,36.819558,-1.28334,0.135512614,-85,0,-10,0.135512614,0
3,33610523,36.869431,-1.247635,0.135625664,-85,0,-10,0.135625664,0
2,2241,34.753342,0.281296,0.135656163,-85,0,-10,0.135656163,0
