Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
11329,47.39666439,8.082377017,136.375039,2511,1000,3,0
4699,47.39668072,9.308827207,197.0546754,2510,1000,3,0
8246,47.39673085,7.536671937,13.27525095,2511,1000,3,1
2608,47.39673964,7.656059136,93.06117896,2510,1000,3,0
6722,47.3967696,8.492978425,122.0737249,2511,1000,3,0
696,47.39680009,9.590813808,154.2070447,2511,1000,3,0
9761,47.39684071,8.203996537,33.08234527,2510,1000,3,1
6873,47.39686204,7.906479859,79.27047369,2511,1000,3,0
4696,47.39704025,7.193583384,147.3091357,2510,1000,3,0
7245,47.39706589,8.518366269,10.7135571,2511,2739,3,1
9716,47.39706995,8.614715603,12.9412406,2511,1000,3,1
7635,47.39713108,8.73109896,15.00925537,2511,1000,3,1
5168,47.39714081,8.596117484,7.11478769,2511,1000,3,1
1783,47.39717931,8.532132672,54.57300041,2511,1000,3,1
5110,47.39723631,8.041345892,30.21665436,2511,1000,3,1
4201,47.39724523,8.313090793,13.7473351,2511,1000,3,1
7099,47.39729583,8.189458048,38.08799421,2511,1000,3,1
11358,47.39740552,8.531991592,1.922979182,2511,1000,3,1
6313,47.39761841,8.549284078,3.885792615,2511,1000,3,1
11729,47.39768813,8.514338373,89.04271408,2511,1000,3,0
11586,47.39774826,9.315118737,253.4234681,2511,1000,3,0
2357,47.39776632,7.036026735,177.0936778,2511,1000,3,0
5653,47.39779964,8.628668441,0.500827788,2511,1000,3,1
9492,47.39780995,8.6241644,1.458225606,2511,3382,3,1
12031,47.39787179,8.611050405,8.616021684,2511,1000,3,1
11830,47.39788536,8.533564662,0.922215803,2511,1000,3,1
7491,47.39791442,8.541858298,6.714334964,2511,1000,3,1
7417,47.39792484,8.602241762,7.665497166,2511,1000,3,1
10849,47.39812169,8.533304564,12.60194681,2511,1000,3,1
7365,47.39817714,8.419972547,97.80039672,2511,1000,3,0
10423,47.39819865,9.299512645,75.63625487,2511,1000,3,0
10084,47.39827354,8.619299468,77.92770486,2511,1000,3,0
1048,47.39829668,9.320120154,140.3167542,2511,1000,3,0
853,47.39830741,8.058221267,140.6587663,2511,1000,3,0
8574,47.3983455,9.323195943,127.5532633,2511,1000,3,0
6152,47.39847927,8.176081894,30.28575161,2511,1000,3,1
11069,47.39853451,8.448448196,1.280152978,2514,1000,3,1
12846,47.39855927,8.459960863,44.35582043,2514,1000,3,1
