Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,10/31/2017 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen's Family Friendly Haunted House,Local Event,Arts/Culture,Play,Tot;#Children;#Teens,230,4
Recreation,,11/17/2017 14:00,Brooklyn,Recreation Center,McCarren Play Center,Tots Thanksgiving Lunch,Local Event,Arts/Culture,Play,Tot;#Children;#Adults,112,3
Recreation,,11/16/2017 10:00,Manhattan,Other,Swidish Cottage,3 Bears puppet show,Local Event,Performance,Play,Tot;#Adults,12,1
Recreation,,11/22/2017 18:00,Bronx,Recreation Center,St. James Recreation Center,International Thanksgiving Celebration,Local Event,Arts/Culture,,Adults;#Seniors,25,1
Recreation,,11/7/2017 10:00,Brooklyn,Park,Betsy Head Park,Fall Field Day,Local Event,Fitness,Play,Children,150,3
Recreation,,12/18/2017 14:00,Brooklyn,Recreation Center,McCarren Play Center,Tots Drive in Movie,Local Event,Arts/Culture,Movies,Tot,115,3
Recreation,,12/8/2017 18:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Literacy Day,Local Event,Academic/Out of School time,Lecture/Panel/Talk,Tot;#Children;#Teens,35,1
Recreation,,12/22/2017 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Christmas Celebration,Local Event,Arts/Culture,Play,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors,60,2
Recreation,,4/1/2018 10:00,Bronx,Recreation Center,St. James Recreation Center,Toddler's Day,Local Event,Family Festival,Play,Tot,60,2
Recreation,,5/4/2018 0:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Mommy and Me Tea Party,Local Event,Arts/Culture,Play,Adults;#Children;#Teens,35,1
Recreation,,6/1/2018 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen Annual Award Ceremony,Local Event,Performance,Awards,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors,150,3
Recreation,,6/1/2018 9:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen Annual Awards Ceremony,Local Event,Performance,Awards,Young Adult;#Teens,150,3
Recreation,ASPCA,7/26/2018 20:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: Throwback Series - The Lion King,Community Based Event,Performance,Movies,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,172,3
Recreation,,7/25/2018 20:30,Bronx,Park,Tremont Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,7/26/2018 20:00,Brooklyn,Park,Wingate Park,Movies Under the Stars : Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,112,3
Recreation,,7/24/2018 20:30,Bronx,Park,Franz Sigel Park,Movies Under The Stars: Captain Underpants,Community Based Event,Mobile Unit,Movies,General Public,14,1
Recreation,Councilman Cohen,7/24/2018 20:30,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Boss Baby,Community Based Event,Mobile Unit,Movies,General Public,104,3
Recreation,,5/26/2018 20:15,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,43,2
Recreation,,7/23/2018 20:30,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Grease""",Community Based Event,Mobile Unit,Movies,General Public,342,4
Recreation,,6/30/2018 20:30,Queens,Other,Rory Staunton Field,"Movies Under the Stars ""An American Tail""",Community Based Event,Mobile Unit,Movies,General Public,101,3
Recreation,,6/29/2018 20:30,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Wonder""",Community Based Event,Mobile Unit,Movies,General Public,194,3
Recreation,,6/28/2018 20:30,Queens,Playground,Conch Playground,"Movies Under the Stars ""Ferdinand""",Community Based Event,Mobile Unit,Movies,General Public,23,1
Recreation,,6/27/2018 20:30,Queens,Park,Unisphere - FMCP,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,Movies,General Public,167,3
Recreation,,6/26/2018 20:30,Queens,Playground,Russell Sage Playground,"Movies Under the Stars ""The Lion King""",Community Based Event,Mobile Unit,Movies,General Public,326,4
Recreation,,6/23/2018 20:30,Queens,Other,Sean's Place,"Movies Under the Stars ""Lego: Ninjago""",Community Based Event,Mobile Unit,Movies,General Public,54,2
Recreation,,6/15/2018 20:30,Queens,Playground,Playground Ninety,"Movies Under the Stars ""The Book of Life""",Community Based Event,Mobile Unit,Movies,General Public,171,3
Recreation,,7/20/2018 18:00,Manhattan,Park,Jackie Robinson Bandshell,Taikoza Concert,Community Based Event,Performance,Music,General Public,55,2
Recreation,,7/20/2018 20:00,Manhattan,Playground,Dry Dock Playground,Movies Under the Stars: The Jungle Book,Community Based Event,Mobile Unit,Movies,General Public,369,4
Recreation,,7/19/2018 11:00,Manhattan,Playground,Anne Loftus Playground,Summer Festival,Community Based Event,Family Festival,Play,Tot;#Young Adult;#Teens;#Children;#General Public,689,5
Recreation,,7/19/2018 20:00,Manhattan,Playground,Playground 103 CIII,Movies Under the Stars: Lion,Community Based Event,Mobile Unit,Movies,General Public,189,3
Recreation,,7/18/2018 20:00,Manhattan,Park,Hamilton Fish Park,Movies Under the Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,196,3
Recreation,,7/17/2018 11:00,Manhattan,Playground,Imagination Playground,Puppet Mobile,Community Based Event,Performance,Play,General Public,150,3
Recreation,,7/14/2018 18:00,Manhattan,Playground,Playground Eighty Nine LXXXIX,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,325,4
Recreation,Bike NYC,7/14/2018 11:00,Manhattan,Playground,Matthew P. Sapolin Playground,Learn to Ride,Community Based Event,Fitness,Fitness,General Public;#Young Adult;#Children;#Tot;#Teens,36,1
Recreation,,7/14/2018 18:00,Manhattan,Park,Highbridge Park,Taikoza Concert,Community Based Event,Performance,Music,General Public,65,2
Recreation,,7/13/2018 20:00,Manhattan,Park,Frederick Johnson Park,Movies Under the Stars: Queen of Katwe,Community Based Event,Mobile Unit,Movies,General Public,85,2
Recreation,Commissioner Castro's Office,7/13/2018 16:00,Manhattan,Park,Ruppert Park,"Arts and Crafts, Jumbo Games",Community Based Event,Arts/Culture,Play,Children;#Tot;#Young Adult,125,3
Recreation,,7/12/2018 20:00,Manhattan,Playground,Tecumseh Playground,Movies Under the Stars: The Space Between Us,Community Based Event,Mobile Unit,Movies,General Public,155,3
Recreation,,7/11/2018 20:00,Manhattan,Park,Cherry Tree Park,Movies Under the Stars: The Secret Life of Pets,Community Based Event,Mobile Unit,Movies,General Public,225,3
Recreation,,7/21/2018 11:00,Bronx,Other,Burnside Ave between Morris Av & Walton Av,Summer Event,Community Based Event,Mobile Unit,Play,Children;#General Public,200,3
Recreation,,7/20/2018 10:00,Bronx,Park,Van Nest Park,Fun Day in the park,Community Based Event,Mobile Unit,Play,General Public;#Children,56,2
Recreation,,7/19/2018 11:00,Bronx,Park,Poe Park,,Community Based Event,Mobile Unit,Play,Children;#General Public,10,1
Recreation,,7/18/2018 11:00,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,,Community Based Event,Mobile Unit,Play,Children;#General Public,40,2
Recreation,,7/14/2018 11:00,Bronx,Other,Barnes Av between E 216 & 217 St,Agnes Heywood Family Day,Community Based Event,Mobile Unit,Play,Children;#General Public,16,1
Recreation,,7/13/2018 13:00,Bronx,Other,161 street & Melrose ave,Melrose Weekend Walks,Community Based Event,Mobile Unit,Play,General Public,120,3
Recreation,,7/21/2018 20:30,Bronx,Park,Crotona Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,7/20/2018 20:30,Bronx,Park,Ferry Point Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,Council Woman Gibson,7/20/2018 20:30,Bronx,Playground,Behagen Playground,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,76,2
Recreation,,7/20/2018 20:30,Queens,Other,Beach 59th Street,"MUTS ""Southside with You""",Community Based Event,Mobile Unit,Movies,General Public,82,2
Recreation,,7/19/2018 20:30,Queens,Park,Montbellier Park,"MUTS ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,57,2
Recreation,,7/19/2018 20:30,Bronx,Other,Frank Frisch Field,Movies Under The Stars: Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,72,2
Recreation,,7/19/2018 20:00,Brooklyn,Park,Cooper Park,Movies Under the Stars : Justice League,Community Based Event,Mobile Unit,Movies,General Public,325,4
Recreation,,7/19/2018 20:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars Throwback Series,Community Based Event,Arts/Culture,Movies,Tot;#Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,120,3
Recreation,,7/18/2018 20:00,Brooklyn,Park,Carroll Park,Movies Under the Stars : Mary Poppin,Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,7/18/2018 20:30,Bronx,Park,Poe Park,Movies Under The Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,90,2
Recreation,Councilman Cohen,7/18/2018 20:30,Bronx,Park,Seton Park,Movies Under The Stars: ET The Extra Terrestrial,Community Based Event,Mobile Unit,Movies,General Public,70,2
Recreation,,8/25/2018 10:00,Manhattan,Park,West 4th Park,Greenwich Handball Tournament,Tournament/Competition,Sport,Tier 3,Young Adult;#Adults;#Teens,18,1
Recreation,,7/18/2018 20:30,Queens,Park,Flushing Meadows Corona Park,"MUTS ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,372,4
Recreation,,7/14/2018 21:00,Staten Island,Other,Cedar Grove Meadow,Movies Under the Stars: Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,7/14/2018 21:00,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Rouge One: A Star Wars Story,Community Based Event,Mobile Unit,Movies,General Public,40,2
Recreation,,7/13/2018 21:00,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Hook,Community Based Event,Mobile Unit,Movies,General Public,35,2
Recreation,,7/13/2018 21:00,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Cars 3,Community Based Event,Mobile Unit,Movies,General Public,225,3
Recreation,,7/12/2018 21:00,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Beauty and Beast,Community Based Event,Mobile Unit,Movies,General Public,225,3
Recreation,,7/11/2018 21:00,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: La La Land,Community Based Event,Mobile Unit,Movies,General Public,35,1
Recreation,,7/11/2018 21:00,Staten Island,Other,Det. Russel Timoshenko,Movies Under the Stars: Jaws,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,7/10/2018 21:00,Staten Island,Park,Conference House Park,Movies Under the Stars: Pitch Perfect,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,7/7/2018 21:00,Staten Island,Park,Westerleigh Park,Movies Under the Stars: Star Wars: The Clone Wars,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,7/7/2018 21:00,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars:,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,7/6/2018 21:00,Staten Island,Park,Father Macris Park,Movies Under the Stars: Rise of the Planet of the Apes,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,7/5/2018 0:00,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Jumanji,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,7/14/2018 20:30,Bronx,Playground,Watson Gleason Playground,Movies Under The Stars: The Lego Movie,Community Based Event,Mobile Unit,Movies,General Public,54,2
Recreation,,7/16/2018 20:00,Brooklyn,Playground,Thomas Greene Playground,Movies Under the Stars : Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,,7/14/2018 20:00,Brooklyn,Park,Cooper Park,Movies Under the Stars : Star Trek,Community Based Event,Mobile Unit,Movies,General Public,225,3
Recreation,,7/13/2018 20:00,Brooklyn,Playground,John Hancock Playground,Movies Under The Stars : Men In Black 3,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,7/15/2018 20:30,Queens,Other,Beach 94th Street,"MUTS ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,,General Public,82,2
Recreation,,7/14/2018 20:30,Queens,Other,Beach 94th Street,"MUTS ""Big Fish""",Community Based Event,Mobile Unit,,General Public,189,3
Recreation,,7/14/2018 10:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Learn To Play Basket Ball,Community Based Event,Sport,Tier 1,Tot;#Children;#General Public,11,1
Recreation,Council Member Gibson,7/13/2018 20:30,Bronx,Park,Macombs Dam Park,Movies Under The Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,137,3
Recreation,,7/13/2018 21:00,Queens,Park,Crocheron Park,"MUTS ""Star Wars: The Last Jedi""",Community Based Event,Mobile Unit,Movies,General Public,214,3
Recreation,,7/12/2018 20:30,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,283,4
Recreation,,7/11/2018 20:30,Bronx,Playground,Cedar Playground,Movies Under The Stars: Daddy's Home 2,Community Based Event,Mobile Unit,Movies,General Public,31,1
Recreation,Councilman Cohen,7/11/2018 20:30,Bronx,Park,Seton Park,Movies Under The Stars: Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,,7/12/2018 20:00,Brooklyn,Playground,Brevoort Playground,Movies Under the Stars: The Lion King,Community Based Event,Mobile Unit,Movies,General Public,110,3
Recreation,,7/12/2018 21:00,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Movies Under The Stars ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,153,3
Recreation,,7/12/2018 11:00,Bronx,Recreation Center,West Bronx Recreation Center,West Bronx Recreation center,Community Based Event,Mobile Unit,Play,Children;#General Public,36,1
Recreation,,7/11/2018 11:00,Bronx,Park,Patterson Houses,,Community Based Event,Mobile Unit,Play,Children,2,1
Recreation,,7/10/2018 12:00,Bronx,Other,Francis Martin Library,Summer reading in the park,Community Based Event,Mobile Unit,Play,Children,5,1
Recreation,,7/6/2018 10:00,Bronx,Park,Van Nest Park,Van nest Playground,Community Based Event,Mobile Unit,Play,Children;#Teens;#General Public,45,2
Recreation,,7/5/2018 11:00,Bronx,Recreation Center,St. James Recreation Center,,Community Based Event,Mobile Unit,Play,General Public;#Children,0,1
Recreation,,7/5/2018 11:00,Bronx,Other,St Andrews Summer camp,Summer Blast,Community Based Event,Mobile Unit,Music,Children,40,2
Recreation,,7/3/2018 11:00,Bronx,Other,P.S. 89,Field Day,Community Based Event,Mobile Unit,Play,Children,53,2
Recreation,Ocean Breeze Athletic Complex,7/11/2018 19:00,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,Tier 2,General Public,54,2
Recreation,,7/11/2018 20:00,Brooklyn,Park,Msgr. McGolrick Park,Movies Under the Stars : Sing!!,Community Based Event,Mobile Unit,Movies,General Public,175,3
Recreation,,7/10/2018 20:00,Brooklyn,Playground,Heckscher Playground,Movies Under the Stars : Smurfs  The Lost Village,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,7/11/2018 20:30,Queens,Playground,Addabbo Playground,"Movies Under The Stars ""Zootopia""",Community Based Event,Mobile Unit,Movies,General Public,94,3
Recreation,,7/10/2018 20:30,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Paddington,Community Based Event,Mobile Unit,Movies,General Public,21,1
Recreation,,7/7/2018 20:30,Queens,Park,Springfield Park,"Movies Under The Stars ""  Moana """,Community Based Event,Mobile Unit,Movies,General Public,219,3
Recreation,,7/7/2018 20:30,Queens,Playground,Broad Channel,Movies Under The Stars ( Jumanji 2017 ),Community Based Event,Mobile Unit,Movies,General Public,101,3
Recreation,,7/5/2018 20:30,Queens,Park,Roy Wilkins,Movies Under The Stars ( Jumanji 2017),Community Based Event,Mobile Unit,Movies,General Public,123,3
Recreation,,7/3/2018 20:30,Queens,Park,Juniper Valley Park,Movies Under The Stars,Community Based Event,Mobile Unit,Movies,General Public,248,3
Recreation,,7/7/2018 20:30,Bronx,Park,St. James Park,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,194,3
Recreation,,7/9/2018 0:00,Brooklyn,Park,Kaiser Park,Movies Under the Stars : Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,120,3
Recreation,,7/8/2018 20:00,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,550,5
Recreation,,7/7/2018 21:00,Brooklyn,Park,Sunset Park,Movies Under the Stars : Pacific Rim,Community Based Event,Mobile Unit,Movies,General Public,500,5
Recreation,,7/6/2018 20:00,Brooklyn,Park,Herbert Von King Park,Movies Under the Stars : Marshall,Community Based Event,Mobile Unit,Movies,General Public,180,3
Recreation,,7/5/2018 20:00,Brooklyn,Park,John Paul Jones Park,Movies Under the Stars : Rocky,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,7/2/2018 20:00,Brooklyn,Park,Cadman Plaza Park,Movies Under the Stars : Dunkirk,Community Based Event,Mobile Unit,Movies,General Public,90,2
Recreation,,6/30/2018 20:00,Brooklyn,Playground,Parkside Playground,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,600,5
Recreation,,6/30/2018 20:00,Brooklyn,Park,Scarangella Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,500,5
Recreation,,6/29/2018 20:00,Brooklyn,Park,McKinley Park,Movies Under the Stars : E.T.,Community Based Event,Mobile Unit,Movies,General Public,400,5
Recreation,,6/29/2018 0:00,Brooklyn,Park,McCarren Park,Movies Under the Stars : Smiles on a Summer Night,Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,6/28/2018 20:00,Brooklyn,Park,Pena Herrera Park,Movies Under the Stars : Power Rangers,Community Based Event,Mobile Unit,Movies,General Public,36,1
Recreation,,6/24/2018 20:00,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Karate Kid,Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,6/24/2018 20:00,Brooklyn,Playground,Sheepshead Playground,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,6/23/2018 20:00,Brooklyn,Park,Dyker Beach Park,Movies Under the Stars : Nut Job 2,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,6/22/2018 21:00,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,300,4
Recreation,,6/22/2018 21:00,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Art of the Score,Community Based Event,Mobile Unit,Movies,General Public,700,5
Recreation,,6/17/2018 21:00,Brooklyn,Playground,Bill Brown Playground,Movies Under the Stars : Willy Wonka,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,6/16/2018 20:00,Brooklyn,Park,Red Hook Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,6/16/2018 20:00,Brooklyn,Park,Amersfort Park,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Music,General Public,300,4
Recreation,CM Menchaca,6/15/2018 20:00,Brooklyn,Park,Sunset Park,Movies Under the Stars : Guardians of the Galaxy 2,Community Based Event,Mobile Unit,Movies,General Public,650,5
Recreation,,6/15/2018 20:00,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Pariah,Community Based Event,Mobile Unit,Movies,General Public,45,2
Recreation,,6/9/2018 20:00,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Ferris Bueller's Day Off,Community Based Event,Mobile Unit,Movies,General Public,240,3
Recreation,,6/8/2018 20:00,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Saturday Church,Community Based Event,Mobile Unit,Movies,General Public,55,2
Recreation,,6/8/2018 20:00,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Bruce!!,Community Based Event,Mobile Unit,Movies,General Public,120,3
Recreation,,6/11/2018 11:00,Bronx,Park,Poe Park,Youth Arts Festival,Community Based Event,Mobile Unit,Play,Children;#General Public,150,3
Recreation,,6/6/2018 20:00,Brooklyn,Playground,Crispus Attucks Playground,Movies Under the Stars : Web Series Wednesdays,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,6/3/2018 20:00,Brooklyn,Park,Manhattan Beach Parking Lot,Drive In Movie,Community Based Event,Mobile Unit,Movies,General Public,195,3
Recreation,ABOFF,6/3/2018 20:00,Brooklyn,Park,Sunset Park,Movies Under the Stars : ABOFF Short Films,Community Based Event,Mobile Unit,Movies,General Public,60,2
Recreation,,6/1/2018 20:00,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Stonewall,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,6/1/2018 20:00,Brooklyn,Park,Leif Ericson Park,Movies Under the Stars : Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,,5/26/2018 20:00,Brooklyn,Playground,P.S. 249,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Movies,General Public,270,4
Recreation,,5/25/2018 20:00,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Moana,Community Based Event,Mobile Unit,Movies,General Public,1000,5
Recreation,,5/25/2018 20:00,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,5/25/2018 20:00,Brooklyn,Park,Prospect Park,Movies Under the Stars : Festival Friday The Seventh Seal,Community Based Event,Mobile Unit,Movies,General Public,250,4
Recreation,,5/20/2018 20:00,Brooklyn,Park,Coffey Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,175,3
Recreation,,5/20/2018 20:00,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Sparkle,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,5/11/2018 20:00,Brooklyn,Park,McCarren Park,"Movies Under the Stars ""Lady Bird""",Community Based Event,Mobile Unit,Movies,General Public,350,4
Recreation,,5/11/2018 20:00,Brooklyn,Park,Owl's Head Park,"Movies Under the Stars ""AOBFF"" Short Independent Films",Community Based Event,Mobile Unit,Movies,General Public,185,3
Recreation,,5/5/2018 20:00,Brooklyn,Park,Maria Hernandez Park,"Movies Under the Stars "" Coco""",Community Based Event,Mobile Unit,Movies,General Public,350,4
Recreation,,5/4/2018 20:00,Brooklyn,Park,Sunset Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,220,3
Recreation,,7/10/2018 20:00,Manhattan,Playground,Asser Levy Playground,Movies Under the Stars: Hotel Transylvania 2,Community Based Event,Mobile Unit,Movies,General Public,251,4
Recreation,,7/11/2018 11:00,Manhattan,Playground,Alfred E. Smith Playground,Puppet Mobile,Community Based Event,Performance,Movies,General Public,95,3
Recreation,,7/10/2018 18:00,Manhattan,Park,Washington Square Park,Strictly Tango,Community Based Event,Performance,Dance,General Public,275,4
Recreation,,7/6/2018 20:00,Manhattan,Park,Harlem Art Park,Movies Under the Stars: Southside with You,Community Based Event,Mobile Unit,Movies,General Public,76,2
Recreation,,7/7/2018 20:00,Manhattan,Park,Thompkin Square Park,Movies Under the Stars: Hotel Transylvania 1,Community Based Event,Mobile Unit,Movies,General Public,475,4
Recreation,,7/6/2018 20:30,Bronx,Recreation Center,St. Mary's Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,60,2
Recreation,Council Member Gibson,7/6/2018 20:30,Bronx,Park,Claremont Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,31,2
Recreation,,7/5/2018 20:30,Bronx,Park,Bronx Park,Movies Under The Stars: Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,45,2
Recreation,Councilwoman Rivera,7/5/2018 20:00,Manhattan,Park,Bellevue South Park,Movies Under the Stars: Bedtime Stories,Community Based Event,Mobile Unit,Movies,General Public,72,2
Recreation,,7/3/2018 20:00,Manhattan,Park,White Park,Movies Under the Stars: The House,Community Based Event,Mobile Unit,Movies,General Public,45,2
Recreation,,7/5/2018 20:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,"Movies Under the Starts Throwback Series ""Splash""",Community Based Event,Mobile Unit,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,92,2
Recreation,,6/30/2018 21:00,Staten Island,Park,Schmul Park,Movies Under the Stars: A League Of their Own,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,,6/30/2018 21:00,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Jumanji Welcome to the Jungle,Community Based Event,Mobile Unit,Movies,General Public,80,2
Recreation,,6/29/2018 21:00,Staten Island,Park,Willowbrook Park,Movies Under the Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,Movies,General Public,230,3
Recreation,,6/28/2018 21:00,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Chicago,Community Based Event,Mobile Unit,Movies,General Public,10,1
Recreation,,7/2/2018 20:30,Bronx,Playground,Bathgate Playground,Movies Under The Stars: Gnomeo and Juliet,Community Based Event,Mobile Unit,Movies,General Public,30,1
Recreation,Jazz Foundation of America,6/30/2018 18:00,Manhattan,Park,Marcus Garvey Park,Jazz Foundation Concert: Phil Young,Community Based Event,Performance,Music,General Public,300,4
Recreation,,6/29/2018 20:00,Manhattan,Park,Fort Tryon Park,Movies Under the Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,375,4
Recreation,Council Member Diana Ayala,6/29/2018 11:00,Manhattan,Playground,East River Playground,Tie Dye Festival,Community Based Event,Family Festival,Play,General Public,275,4
Recreation,MOCA Cinema,6/29/2018 17:00,Manhattan,Park,Columbus Park,Moca Cinema: The Last Dragon,Community Based Event,Mobile Unit,Movies,General Public,250,4
Recreation,Council Member Kallos & Jazz Foundation of America,6/29/2018 17:00,Manhattan,Park,Andrew Haswell Green Park,Jazz Foundation Concert,Community Based Event,Performance,AC&F,General Public,75,2
Recreation,,6/28/2018 20:00,Manhattan,Park,Chelsea Park,Movies Under the Stars: Captain Underpants: The First Epic Movie,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,6/28/2018 20:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Puppet Mobile,Community Based Event,Mobile Unit,Play,Children;#Tot;#Adaptive,188,3
Recreation,,6/27/2018 18:00,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by Faith Ringgold,Community Based Event,Arts/Culture,Play,General Public,30,2
Recreation,Councilman Cabera,6/30/2018 20:30,Bronx,Park,St. James Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,6/30/2018 20:30,Bronx,Park,Macombs Dam Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,203,3
Recreation,,6/30/2018 11:00,Bronx,Recreation Center,Hunts Point Recreation Center,Summer Fest,Community Based Event,Mobile Unit,Play,Children;#General Public,56,2
Recreation,,6/29/2018 17:00,Bronx,Playground,Patterson Playground,Peach March,Community Based Event,Mobile Unit,Play,Children;#General Public,33,1
