Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,4/13/2018 16:00,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Fitness Challenge,Community Based Event,Fitness,Fitness,General Public,70,2
Recreation,,4/12/2018 18:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Tea Social at ""The Pelham""",Community Based Event,Arts/Culture,Lecture/Panel/Talk,Adults;#Seniors;#Adaptive,30,1
Recreation,Jazz Foundation,4/12/2018 13:00,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,30,1
Recreation,Jazz Foundation,4/5/2018 0:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,45,2
Recreation,NYU,4/4/2018 14:00,Manhattan,Park,Washington Square Park,Salsa in the Park with NYU,Community Based Event,Arts/Culture,Dance,Seniors;#Adults,125,3
Recreation,,5/26/2017 9:00,Bronx,Recreation Center,St. James Recreation Center,Orchard Beach Grand Opening,Local Event,Fitness,,Adults;#Seniors,9,1
Recreation,,5/12/2017 10:00,Brooklyn,Recreation Center,McCarren Play Center,Mothers day event,Local Event,Arts/Culture,,Tot,67,2
Recreation,,4/19/2017 10:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Bunny Wonderland,Local Event,Arts/Culture,Play,Tot;#Teens;#Young Adult;#Adults;#Seniors,220,4
Recreation,,4/29/2017 0:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Track & Field trip to Icahn Stadium,Local Event,Sport,Play,Children,39,2
Recreation,,5/8/2017 16:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Video game tournament,Tournament/Competition,Sport,Play,Children;#Teens,22,1
Recreation,,5/31/2017 10:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Open House- Aerobics expo,Open House,Fitness,,Teens;#Young Adult;#Adults;#Seniors,95,3
Recreation,,2/4/2017 10:00,Bronx,Recreation Center,West Bronx Recreation Center,Winter Fest Prep,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Children,15,1
